epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1149.77,0.50784,1.59086,0.42591,1.09053,0,0.9821,0.91489,0.93502,0.77839,0.97714,0.91027,0.92921,0.68116,0.75586,1.73265,0.52512,0.79125,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
23,1123.69,0.49549,1.45604,0.40959,1.07616,0,0.98205,0.92599,0.95424,0.78418,0.97714,0.92137,0.94433,0.69418,0.75424,1.68963,0.37805,0.7773,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2240.97,0.52851,1.60649,0.44989,1.10421,0,0.98618,0.92441,0.94176,0.77869,0.98026,0.91886,0.9346,0.68679,0.7675,1.73074,0.49764,0.82401,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3360.94,0.52898,1.58833,0.44961,1.10382,0,0.98038,0.92445,0.95131,0.78534,0.98404,0.91275,0.94174,0.68456,0.73709,1.72798,0.39009,0.8274,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4477.71,0.51957,1.60334,0.43965,1.10031,0,0.98335,0.92892,0.95683,0.79444,0.9765,0.92244,0.94957,0.69931,0.72707,1.6739,0.37397,0.7658,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5596.68,0.5243,1.57873,0.45162,1.09902,0,0.99092,0.90855,0.95685,0.79741,0.98488,0.90374,0.94381,0.70381,0.73282,1.67677,0.37093,0.76793,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6715.57,0.51603,1.56562,0.4394,1.09485,0,0.97839,0.92322,0.95003,0.78912,0.97732,0.91703,0.93979,0.69445,0.72765,1.66215,0.37607,0.76556,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7787.69,0.50897,1.53531,0.44076,1.08945,0,0.97729,0.92784,0.94288,0.7879,0.97357,0.92414,0.93399,0.69707,0.72102,1.67181,0.39961,0.74663,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8837.08,0.51068,1.53402,0.43808,1.09099,0,0.98021,0.92414,0.95243,0.78955,0.97258,0.91887,0.9397,0.69976,0.75592,1.74773,0.40558,0.77194,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1158.28,0.4902,1.54205,0.40751,1.07844,0,0.97765,0.92692,0.95171,0.79919,0.97375,0.92322,0.94388,0.70714,0.73916,1.66166,0.40373,0.77832,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
